Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
336,Benjamin Tahirovic,ba BIH,MF,Brøndby,21,2003,15,10,851,9.5,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches,6,2,33.3,0.63,0.21,0.00,0.00,,57,29.5,80,6,5,11,0,1.60,16,16,0,0.00,-0.53,0,8,13,0,19,8,11,,,0
282,Bertil Pedersen,dk DEN,GK,Aalborg,17,2007,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,90,3.1,90,1,0,,11,0.00,1,3,-2,-2.00,-1.00,0,0,0,0,0,0,0,,,0
,Bertram Kvist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,
,Bertram Skovgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,
,Bilal Konteh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,
247,Birger Meling,no NOR,"DF,MF",FC Copenhagen,29,1994,10,7,538,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3,1,33.3,0.50,0.17,0.00,0.00,,54,18.7,71,4,3,15,6,2.10,8,4,+4,+0.67,-0.21,0,3,6,0,20,6,8,,,0
290,Bjarne Pudel,de GER,DF,Aalborg,23,2001,21,19,1690,18.8,1,1,2,1,0,0,6,1,0.05,0.05,0.11,0.05,0.11,Matches,1,1,100.0,0.05,0.05,1.00,1.00,,80,58.7,87,16,2,18,5,0.71,26,33,-7,-0.37,+1.59,0,19,17,1,3,31,10,,,0
204,Björn Kopplin,de GER,DF,Randers,35,1989,16,0,178,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1,0,0.0,0.51,0.00,0.00,,,11,6.2,,0,16,11,10,1.75,3,3,0,0.00,-0.23,0,1,3,0,7,6,2,,,0
140,Brian Hamalainen,dk DEN,DF,Lyngby,35,1989,13,10,801,8.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8,1,12.5,0.90,0.11,0.00,0.00,,62,27.8,77,4,3,10,6,0.77,7,12,-5,-0.56,-0.04,0,2,4,0,29,7,2,,,0
367,Caleb Yirenkyi,gh GHA,MF,Nordsjælland,18,2006,17,14,1204,13.4,2,2,4,2,0,0,4,0,0.15,0.15,0.30,0.15,0.30,Matches,10,6,60.0,0.75,0.45,0.20,0.33,,71,41.8,84,9,3,7,8,1.35,22,23,-1,-0.07,+0.03,0,33,11,2,1,18,16,,,0
246,Callum McCowatt,nz NZL,"MF,FW",Silkeborg,25,1999,22,13,1206,13.4,5,3,8,5,0,0,1,0,0.37,0.22,0.60,0.37,0.60,Matches,43,14,32.6,3.21,1.04,0.12,0.36,,55,41.9,74,3,9,27,2,1.57,24,16,+8,+0.60,+0.22,0,21,8,4,47,4,9,,,0
,Carl Christensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,
364,Casper Winther,dk DEN,MF,Lyngby,21,2003,26,24,1960,21.8,1,1,2,1,0,0,5,0,0.05,0.05,0.09,0.05,0.09,Matches,28,6,21.4,1.29,0.28,0.04,0.17,,75,68.1,80,12,2,24,3,0.85,14,27,-13,-0.60,-0.21,0,14,10,0,41,21,16,,,0
160,Charly Horneman,dk DEN,FW,Viborg,20,2004,26,4,577,6.4,3,1,4,3,0,0,1,0,0.47,0.16,0.62,0.47,0.62,Matches,21,11,52.4,3.28,1.72,0.14,0.27,,22,20.0,63,0,22,15,4,1.69,12,6,+6,+0.94,+0.90,0,7,8,1,7,5,1,,,0
76,Christian Cappis,us USA,MF,Brøndby,24,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,1,0.0,,0,1,1,2,3.00,0,0,0,0.00,-0.38,0,0,0,0,0,0,0,,,0
127,Christian Gammelgaard,dk DEN,"FW,MF",Vejle BK,21,2003,30,20,1582,17.6,1,6,7,1,0,0,1,0,0.06,0.34,0.40,0.06,0.40,Matches,33,8,24.2,1.88,0.46,0.03,0.13,,53,54.9,68,3,10,23,1,0.87,25,34,-9,-0.51,+0.74,0,14,7,3,94,5,10,,,0
,Christian Storch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,
334,Christian Sørensen,dk DEN,"DF,MF",FC Copenhagen,31,1992,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3,0,0.0,6.00,0.00,0.00,,,45,1.6,,0,1,45,2,1.00,1,0,+1,+2.00,+1.17,0,0,0,0,15,0,0,,,0
335,Christian Sørensen,dk DEN,DF,Midtjylland,31,1992,6,3,264,2.9,0,1,1,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,Matches,3,0,0.0,6.00,0.00,0.00,,,45,1.6,,0,1,45,2,1.00,1,0,+1,+2.00,+1.17,0,0,0,0,15,0,0,,,0
337,Christian Tcacenco,dk DEN,DF,Aalborg,17,2007,2,0,47,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1,0,0.0,1.91,0.00,0.00,,,24,1.6,,0,2,24,1,1.50,1,2,-1,-1.91,-0.90,0,1,0,0,1,1,1,,,0
,Christian Østergaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,
,Clemens Astrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,
49,Clement Bischoff,dk DEN,MF,Brøndby,18,2005,29,21,1726,19.2,2,3,5,2,0,0,3,1,0.10,0.16,0.26,0.10,0.26,Matches,40,18,45.0,2.09,0.94,0.05,0.11,,60,59.9,74,5,8,21,1,1.59,32,26,+6,+0.31,-0.16,0,22,31,2,63,9,24,,,0
148,Conrad Harder,dk DEN,FW,Nordsjælland,19,2005,7,7,584,6.5,2,3,5,2,0,0,0,0,0.31,0.46,0.77,0.31,0.77,Matches,30,8,26.7,4.62,1.23,0.07,0.25,,83,20.3,83,3,0,,0,1.57,12,13,-1,-0.15,-0.08,0,9,5,5,14,4,5,,,0
363,Dalton Wilkins,nz NZL,DF,SønderjyskE,25,1999,9,3,284,3.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,1,0,0.0,0.32,0.00,0.00,,,32,9.9,72,1,6,11,2,0.89,6,5,+1,+0.32,+0.94,0,3,6,1,8,4,4,,,0
